Date,meta_selic_432,cambio_dolar_1,ipca_mensal_433,saldo_credito_pj_20543,inadimplencia_pj_21086
2018-01-01,7.0,,0.29,712609.0,4.92
2018-01-02,7.0,3.2697,,,
2018-01-03,7.0,3.2535,,,
2018-01-04,7.0,3.2318,,,
2018-01-05,7.0,3.2409,,,
2018-01-06,7.0,,,,
2018-01-07,7.0,,,,
2018-01-08,7.0,3.2357,,,
2018-01-09,7.0,3.2397,,,
2018-01-10,7.0,3.2467,,,
2018-01-11,7.0,3.2301,,,
2018-01-12,7.0,3.2197,,,
2018-01-13,7.0,,,,
2018-01-14,7.0,,,,
2018-01-15,7.0,3.1963,,,
2018-01-16,7.0,3.2219,,,
2018-01-17,7.0,3.2324,,,
2018-01-18,7.0,3.2129,,,
2018-01-19,7.0,3.2087,,,
2018-01-20,7.0,,,,
2018-01-21,7.0,,,,
2018-01-22,7.0,3.1934,,,
2018-01-23,7.0,3.2249,,,
2018-01-24,7.0,3.197,,,
2018-01-25,7.0,3.1391,,,
2018-01-26,7.0,3.145,,,
2018-01-27,7.0,,,,
2018-01-28,7.0,,,,
2018-01-29,7.0,3.1655,,,
2018-01-30,7.0,3.1661,,,
2018-01-31,7.0,3.1624,,,
2018-02-01,7.0,3.173,0.32,713800.0,4.89
2018-02-02,7.0,3.206,,,
2018-02-03,7.0,,,,
2018-02-04,7.0,,,,
2018-02-05,7.0,3.2355,,,
2018-02-06,7.0,3.2613,,,
2018-02-07,7.0,3.2467,,,
2018-02-08,6.75,3.2692,,,
2018-02-09,6.75,3.2821,,,
2018-02-10,6.75,,,,
2018-02-11,6.75,,,,
2018-02-12,6.75,,,,
2018-02-13,6.75,,,,
2018-02-14,6.75,3.2536,,,
2018-02-15,6.75,3.2208,,,
2018-02-16,6.75,3.2381,,,
2018-02-17,6.75,,,,
2018-02-18,6.75,,,,
2018-02-19,6.75,3.2347,,,
2018-02-20,6.75,3.2507,,,
2018-02-21,6.75,3.2555,,,
2018-02-22,6.75,3.2598,,,
2018-02-23,6.75,3.2417,,,
2018-02-24,6.75,,,,
2018-02-25,6.75,,,,
2018-02-26,6.75,3.2351,,,
2018-02-27,6.75,3.2383,,,
2018-02-28,6.75,3.2449,,,
2018-03-01,6.75,3.262,0.09,730184.0,4.54
2018-03-02,6.75,3.2614,,,
2018-03-03,6.75,,,,
2018-03-04,6.75,,,,
2018-03-05,6.75,3.2582,,,
2018-03-06,6.75,3.2246,,,
2018-03-07,6.75,3.2318,,,
2018-03-08,6.75,3.2518,,,
2018-03-09,6.75,3.2496,,,
2018-03-10,6.75,,,,
2018-03-11,6.75,,,,
2018-03-12,6.75,3.2606,,,
2018-03-13,6.75,3.2492,,,
2018-03-14,6.75,3.2584,,,
2018-03-15,6.75,3.2859,,,
2018-03-16,6.75,3.2905,,,
2018-03-17,6.75,,,,
2018-03-18,6.75,,,,
2018-03-19,6.75,3.2911,,,
2018-03-20,6.75,3.2981,,,
2018-03-21,6.75,3.2921,,,
2018-03-22,6.5,3.3033,,,
2018-03-23,6.5,3.3041,,,
2018-03-24,6.5,,,,
2018-03-25,6.5,,,,
2018-03-26,6.5,3.3034,,,
2018-03-27,6.5,3.3256,,,
2018-03-28,6.5,3.338,,,
2018-03-29,6.5,3.3238,,,
2018-03-30,6.5,,,,
2018-03-31,6.5,,,,
2018-04-01,6.5,,0.22,732834.0,4.26
2018-04-02,6.5,3.3104,,,
2018-04-03,6.5,3.3139,,,
2018-04-04,6.5,3.3538,,,
2018-04-05,6.5,3.3196,,,
2018-04-06,6.5,3.3666,,,
2018-04-07,6.5,,,,
2018-04-08,6.5,,,,
2018-04-09,6.5,3.3903,,,
2018-04-10,6.5,3.4195,,,
2018-04-11,6.5,3.4052,,,
2018-04-12,6.5,3.3858,,,
2018-04-13,6.5,3.4105,,,
2018-04-14,6.5,,,,
2018-04-15,6.5,,,,
2018-04-16,6.5,3.4263,,,
2018-04-17,6.5,3.4041,,,
2018-04-18,6.5,3.3844,,,
2018-04-19,6.5,3.3977,,,
2018-04-20,6.5,3.4101,,,
2018-04-21,6.5,,,,
2018-04-22,6.5,,,,
2018-04-23,6.5,3.4421,,,
2018-04-24,6.5,3.4667,,,
2018-04-25,6.5,3.504,,,
2018-04-26,6.5,3.4977,,,
2018-04-27,6.5,3.4676,,,
2018-04-28,6.5,,,,
2018-04-29,6.5,,,,
2018-04-30,6.5,3.4811,,,
2018-05-01,6.5,,0.4,738488.0,4.19
2018-05-02,6.5,3.5424,,,
2018-05-03,6.5,3.5484,,,
2018-05-04,6.5,3.5308,,,
2018-05-05,6.5,,,,
2018-05-06,6.5,,,,
2018-05-07,6.5,3.5458,,,
2018-05-08,6.5,3.5788,,,
2018-05-09,6.5,3.5943,,,
2018-05-10,6.5,3.5566,,,
2018-05-11,6.5,3.5716,,,
2018-05-12,6.5,,,,
2018-05-13,6.5,,,,
2018-05-14,6.5,3.6097,,,
2018-05-15,6.5,3.6753,,,
2018-05-16,6.5,3.6803,,,
2018-05-17,6.5,3.6874,,,
2018-05-18,6.5,3.7503,,,
2018-05-19,6.5,,,,
2018-05-20,6.5,,,,
2018-05-21,6.5,3.7072,,,
2018-05-22,6.5,3.6502,,,
2018-05-23,6.5,3.6507,,,
2018-05-24,6.5,3.6436,,,
2018-05-25,6.5,3.6587,,,
2018-05-26,6.5,,,,
2018-05-27,6.5,,,,
2018-05-28,6.5,3.7092,,,
2018-05-29,6.5,3.7289,,,
2018-05-30,6.5,3.737,,,
2018-05-31,6.5,,,,
2018-06-01,6.5,3.7413,1.26,756164.0,3.88
2018-06-02,6.5,,,,
2018-06-03,6.5,,,,
2018-06-04,6.5,3.7424,,,
2018-06-05,6.5,3.7752,,,
2018-06-06,6.5,3.8193,,,
2018-06-07,6.5,3.9,,,
2018-06-08,6.5,3.7859,,,
2018-06-09,6.5,,,,
2018-06-10,6.5,,,,
2018-06-11,6.5,3.6913,,,
2018-06-12,6.5,3.7044,,,
2018-06-13,6.5,3.7054,,,
2018-06-14,6.5,3.7057,,,
2018-06-15,6.5,3.7738,,,
2018-06-16,6.5,,,,
2018-06-17,6.5,,,,
2018-06-18,6.5,3.7543,,,
2018-06-19,6.5,3.7566,,,
2018-06-20,6.5,3.7335,,,
2018-06-21,6.5,3.7894,,,
2018-06-22,6.5,3.7663,,,
2018-06-23,6.5,,,,
2018-06-24,6.5,,,,
2018-06-25,6.5,3.776,,,
2018-06-26,6.5,3.7721,,,
2018-06-27,6.5,3.8358,,,
2018-06-28,6.5,3.8521,,,
2018-06-29,6.5,3.8558,,,
2018-06-30,6.5,,,,
2018-07-01,6.5,,0.33,745795.0,3.52
2018-07-02,6.5,3.9055,,,
2018-07-03,6.5,3.892,,,
2018-07-04,6.5,3.9058,,,
2018-07-05,6.5,3.9192,,,
2018-07-06,6.5,3.9264,,,
2018-07-07,6.5,,,,
2018-07-08,6.5,,,,
2018-07-09,6.5,3.8692,,,
2018-07-10,6.5,3.8452,,,
2018-07-11,6.5,3.8417,,,
2018-07-12,6.5,3.8564,,,
2018-07-13,6.5,3.8745,,,
2018-07-14,6.5,,,,
2018-07-15,6.5,,,,
2018-07-16,6.5,3.8579,,,
2018-07-17,6.5,3.8671,,,
2018-07-18,6.5,3.8474,,,
2018-07-19,6.5,3.8847,,,
2018-07-20,6.5,3.7793,,,
2018-07-21,6.5,,,,
2018-07-22,6.5,,,,
2018-07-23,6.5,3.7915,,,
2018-07-24,6.5,3.7459,,,
2018-07-25,6.5,3.712,,,
2018-07-26,6.5,3.7243,,,
2018-07-27,6.5,3.7164,,,
2018-07-28,6.5,,,,
2018-07-29,6.5,,,,
2018-07-30,6.5,3.7155,,,
2018-07-31,6.5,3.7549,,,
2018-08-01,6.5,3.7491,-0.09,758886.0,3.43
