CD_CVM,DENOM_CIA,receita,ESCALA_MOEDA,lucro_liquido,setor
001023,BCO BRASIL S.A.,273505274.0,MIL,29171564.0,Bancos
014206,BRB BANCO DE BRASILIA S.A.,8909356.0,MIL,311019.0,Bancos
002437,AXIA ENERGIA S.A.,40181552.0,MIL,10380753.0,Emp. Adm. Part. - Energia Elétrica
014451,COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB,350369.0,MIL,225527.0,Energia Elétrica
026190,CARAMURU ALIMENTOS S.A.,7272804.0,MIL,272076.0,Alimentos
026174,AUREN OPERAÇÕES S.A.,3438492.0,MIL,28155.0,Emp. Adm. Part. - Energia Elétrica
026069,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",1765969.0,MIL,175639.0,Serviços Transporte e Logística
027472,AXIA ENERGIA NORTE S.A.,13291895.0,MIL,2084000.0,Energia Elétrica
024880,LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.,4149626.0,MIL,200184.0,Emp. Adm. Part. - Serviços Transporte e Logística
020990,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,14349000.0,MIL,8281000.0,Comércio (Atacado e Varejo)
015253,ENERGISA S.A.,33715476.0,MIL,4636282.0,Emp. Adm. Part. - Energia Elétrica
027383,LETS RENT A CAR S/A,1045322.0,MIL,25653.0,Serviços Transporte e Logística
021733,CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO,10295249.0,MIL,1769987.0,Intermediação Financeira
015539,NEOENERGIA S.A.,48993000.0,MIL,3682000.0,Emp. Adm. Part. - Energia Elétrica
024660,BBM LOGÍSTICA S.A.,1450437.0,MIL,-342274.0,Serviços Transporte e Logística
017949,MRS LOGISTICA S.A.,7024973.0,MIL,1415510.0,Serviços Transporte e Logística
016101,GAFISA S.A.,1012352.0,MIL,-40723.0,"Construção Civil, Mat. Constr. e Decoração"
025160,SEQUOIA LOGÍSTICA E TRANSPORTES S.A.,769016.0,MIL,-1278391.0,Serviços Transporte e Logística
027189,VOTORANTIM CIMENTOS S.A.,26564574.0,MIL,1073696.0,"Construção Civil, Mat. Constr. e Decoração"
016292,BRF S.A.,61379038.0,MIL,3691904.0,Emp. Adm. Part. - Alimentos
020044,CSU DIGITAL S.A.,567639.0,MIL,91177.0,Emp. Adm. Part. - Sem Setor Principal
023000,LIGHT ENERGIA S.A.,860589.0,MIL,133411.0,Energia Elétrica
018708,CIA PARTICIPACOES ALIANCA DA BAHIA,87662.0,MIL,41040.0,Emp. Adm. Part. - Sem Setor Principal
026891,ELETRORIVER S.A.,697658.0,MIL,274720.0,
027480,AXIA ENERGIA SUL S.A.,2899764.0,MIL,639275.0,Energia Elétrica
027022,V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.,7750616.0,MIL,864359.0,Telecomunicações
016659,PORTO SEGURO S.A.,35243466.0,MIL,2690782.0,Seguradoras e Corretoras
016632,DEXXOS PARTICIPAÇÕES S.A.,1810394.0,MIL,153199.0,Emp. Adm. Part. - Sem Setor Principal
