NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Ano (Código),Ano,Variável (Código),Variável,Classificação Nacional de Atividades Econômicas (CNAE 2.0) (Código),Classificação Nacional de Atividades Econômicas (CNAE 2.0),Faixas de pessoal ocupado assalariado (Código),Faixas de pessoal ocupado assalariado
1,Brasil,1020,Unidades,261302,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117897,Total,9504,Total
1,Brasil,1020,Unidades,242505,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117897,Total,9502,1 a 9 pessoas
1,Brasil,1020,Unidades,17192,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117897,Total,46281,10 a 49 pessoas
1,Brasil,1020,Unidades,1605,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117897,Total,73113,50 ou mais pessoas
1,Brasil,1020,Unidades,2177,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,116830,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",9504,Total
1,Brasil,1020,Unidades,1883,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,116830,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",9502,1 a 9 pessoas
1,Brasil,1020,Unidades,264,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,116830,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",46281,10 a 49 pessoas
1,Brasil,1020,Unidades,30,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,116830,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",73113,50 ou mais pessoas
1,Brasil,1020,Unidades,391,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,116880,B Indústrias extrativas,9504,Total
1,Brasil,1020,Unidades,361,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,116880,B Indústrias extrativas,9502,1 a 9 pessoas
1,Brasil,1020,Unidades,28,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,116880,B Indústrias extrativas,46281,10 a 49 pessoas
1,Brasil,1020,Unidades,2,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,116880,B Indústrias extrativas,73113,50 ou mais pessoas
1,Brasil,1020,Unidades,20925,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,116910,C Indústrias de transformação,9504,Total
1,Brasil,1020,Unidades,18684,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,116910,C Indústrias de transformação,9502,1 a 9 pessoas
1,Brasil,1020,Unidades,2028,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,116910,C Indústrias de transformação,46281,10 a 49 pessoas
1,Brasil,1020,Unidades,213,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,116910,C Indústrias de transformação,73113,50 ou mais pessoas
1,Brasil,1020,Unidades,119,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117296,D Eletricidade e gás,9504,Total
1,Brasil,1020,Unidades,110,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117296,D Eletricidade e gás,9502,1 a 9 pessoas
1,Brasil,1020,Unidades,8,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117296,D Eletricidade e gás,46281,10 a 49 pessoas
1,Brasil,1020,Unidades,1,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117296,D Eletricidade e gás,73113,50 ou mais pessoas
1,Brasil,1020,Unidades,739,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117307,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",9504,Total
1,Brasil,1020,Unidades,649,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117307,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",9502,1 a 9 pessoas
1,Brasil,1020,Unidades,67,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117307,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",46281,10 a 49 pessoas
1,Brasil,1020,Unidades,23,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117307,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",73113,50 ou mais pessoas
1,Brasil,1020,Unidades,17709,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117329,F Construção,9504,Total
1,Brasil,1020,Unidades,15485,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117329,F Construção,9502,1 a 9 pessoas
1,Brasil,1020,Unidades,2013,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117329,F Construção,46281,10 a 49 pessoas
1,Brasil,1020,Unidades,211,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117329,F Construção,73113,50 ou mais pessoas
1,Brasil,1020,Unidades,111520,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117363,G Comércio; reparação de veículos automotores e motocicletas,9504,Total
1,Brasil,1020,Unidades,106162,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117363,G Comércio; reparação de veículos automotores e motocicletas,9502,1 a 9 pessoas
1,Brasil,1020,Unidades,5051,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117363,G Comércio; reparação de veículos automotores e motocicletas,46281,10 a 49 pessoas
1,Brasil,1020,Unidades,307,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117363,G Comércio; reparação de veículos automotores e motocicletas,73113,50 ou mais pessoas
1,Brasil,1020,Unidades,13748,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117484,"H Transporte, armazenagem e correio",9504,Total
1,Brasil,1020,Unidades,12800,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117484,"H Transporte, armazenagem e correio",9502,1 a 9 pessoas
1,Brasil,1020,Unidades,815,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117484,"H Transporte, armazenagem e correio",46281,10 a 49 pessoas
1,Brasil,1020,Unidades,133,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117484,"H Transporte, armazenagem e correio",73113,50 ou mais pessoas
1,Brasil,1020,Unidades,26776,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117543,I Alojamento e alimentação,9504,Total
1,Brasil,1020,Unidades,24101,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117543,I Alojamento e alimentação,9502,1 a 9 pessoas
1,Brasil,1020,Unidades,2564,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117543,I Alojamento e alimentação,46281,10 a 49 pessoas
1,Brasil,1020,Unidades,111,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117543,I Alojamento e alimentação,73113,50 ou mais pessoas
1,Brasil,1020,Unidades,4793,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117555,J Informação e comunicação,9504,Total
1,Brasil,1020,Unidades,4413,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117555,J Informação e comunicação,9502,1 a 9 pessoas
1,Brasil,1020,Unidades,345,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117555,J Informação e comunicação,46281,10 a 49 pessoas
1,Brasil,1020,Unidades,35,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117555,J Informação e comunicação,73113,50 ou mais pessoas
1,Brasil,1020,Unidades,2800,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117608,"K Atividades financeiras, de seguros e serviços relacionados",9504,Total
1,Brasil,1020,Unidades,2654,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117608,"K Atividades financeiras, de seguros e serviços relacionados",9502,1 a 9 pessoas
1,Brasil,1020,Unidades,123,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117608,"K Atividades financeiras, de seguros e serviços relacionados",46281,10 a 49 pessoas
1,Brasil,1020,Unidades,23,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117608,"K Atividades financeiras, de seguros e serviços relacionados",73113,50 ou mais pessoas
1,Brasil,1020,Unidades,3270,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117666,L Atividades imobiliárias,9504,Total
1,Brasil,1020,Unidades,3151,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117666,L Atividades imobiliárias,9502,1 a 9 pessoas
1,Brasil,1020,Unidades,106,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117666,L Atividades imobiliárias,46281,10 a 49 pessoas
1,Brasil,1020,Unidades,13,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117666,L Atividades imobiliárias,73113,50 ou mais pessoas
1,Brasil,1020,Unidades,13289,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117673,"M Atividades profissionais, científicas e técnicas",9504,Total
1,Brasil,1020,Unidades,12626,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117673,"M Atividades profissionais, científicas e técnicas",9502,1 a 9 pessoas
1,Brasil,1020,Unidades,602,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117673,"M Atividades profissionais, científicas e técnicas",46281,10 a 49 pessoas
1,Brasil,1020,Unidades,61,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117673,"M Atividades profissionais, científicas e técnicas",73113,50 ou mais pessoas
1,Brasil,1020,Unidades,16236,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117714,N Atividades administrativas e serviços complementares,9504,Total
1,Brasil,1020,Unidades,14094,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117714,N Atividades administrativas e serviços complementares,9502,1 a 9 pessoas
1,Brasil,1020,Unidades,1788,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117714,N Atividades administrativas e serviços complementares,46281,10 a 49 pessoas
1,Brasil,1020,Unidades,354,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117714,N Atividades administrativas e serviços complementares,73113,50 ou mais pessoas
1,Brasil,1020,Unidades,7,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117774,"O Administração pública, defesa e seguridade social",9504,Total
1,Brasil,1020,Unidades,4,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117774,"O Administração pública, defesa e seguridade social",9502,1 a 9 pessoas
1,Brasil,1020,Unidades,3,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117774,"O Administração pública, defesa e seguridade social",46281,10 a 49 pessoas
1,Brasil,1020,Unidades,-,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117774,"O Administração pública, defesa e seguridade social",73113,50 ou mais pessoas
1,Brasil,1020,Unidades,5731,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117788,P Educação,9504,Total
1,Brasil,1020,Unidades,5092,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117788,P Educação,9502,1 a 9 pessoas
1,Brasil,1020,Unidades,598,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117788,P Educação,46281,10 a 49 pessoas
1,Brasil,1020,Unidades,41,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117788,P Educação,73113,50 ou mais pessoas
1,Brasil,1020,Unidades,11541,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117810,Q Saúde humana e serviços sociais,9504,Total
1,Brasil,1020,Unidades,11215,1,Brasil,2017,2017,13234,Número de nascimentos de empresas empregadoras,117810,Q Saúde humana e serviços sociais,9502,1 a 9 pessoas
