DATE,CODE,RAW DATE,DAY,MONTH,YEAR,VALUE ((% a.m.))
2015-01-01,BM12_TJOVER12,2015-01-01T00:00:00-02:00,1,1,2015,0.94
2015-02-01,BM12_TJOVER12,2015-02-01T00:00:00-02:00,1,2,2015,0.82
2015-03-01,BM12_TJOVER12,2015-03-01T00:00:00-03:00,1,3,2015,1.04
2015-04-01,BM12_TJOVER12,2015-04-01T00:00:00-03:00,1,4,2015,0.95
2015-05-01,BM12_TJOVER12,2015-05-01T00:00:00-03:00,1,5,2015,0.99
2015-06-01,BM12_TJOVER12,2015-06-01T00:00:00-03:00,1,6,2015,1.07
2015-07-01,BM12_TJOVER12,2015-07-01T00:00:00-03:00,1,7,2015,1.18
2015-08-01,BM12_TJOVER12,2015-08-01T00:00:00-03:00,1,8,2015,1.11
2015-09-01,BM12_TJOVER12,2015-09-01T00:00:00-03:00,1,9,2015,1.11
2015-10-01,BM12_TJOVER12,2015-10-01T00:00:00-03:00,1,10,2015,1.11
2015-11-01,BM12_TJOVER12,2015-11-01T00:00:00-02:00,1,11,2015,1.06
2015-12-01,BM12_TJOVER12,2015-12-01T00:00:00-02:00,1,12,2015,1.16
2016-01-01,BM12_TJOVER12,2016-01-01T00:00:00-02:00,1,1,2016,1.06
2016-02-01,BM12_TJOVER12,2016-02-01T00:00:00-02:00,1,2,2016,1.0
2016-03-01,BM12_TJOVER12,2016-03-01T00:00:00-03:00,1,3,2016,1.16
2016-04-01,BM12_TJOVER12,2016-04-01T00:00:00-03:00,1,4,2016,1.06
2016-05-01,BM12_TJOVER12,2016-05-01T00:00:00-03:00,1,5,2016,1.11
2016-06-01,BM12_TJOVER12,2016-06-01T00:00:00-03:00,1,6,2016,1.16
2016-07-01,BM12_TJOVER12,2016-07-01T00:00:00-03:00,1,7,2016,1.11
2016-08-01,BM12_TJOVER12,2016-08-01T00:00:00-03:00,1,8,2016,1.22
2016-09-01,BM12_TJOVER12,2016-09-01T00:00:00-03:00,1,9,2016,1.11
2016-10-01,BM12_TJOVER12,2016-10-01T00:00:00-03:00,1,10,2016,1.05
