NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Mês (Código),Mês,Variável (Código),Variável,Tipos de índice (Código),Tipos de índice,Atividades (Código),Atividades
1,Brasil,30,Número-índice,..,1,Brasil,202406,junho 2024,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista,0,
1,Brasil,30,Número-índice,..,1,Brasil,202406,junho 2024,7169,PMC - Número-índice (2022=100),56734,Índice de volume de vendas no comércio varejista,0,
1,Brasil,30,Número-índice,..,1,Brasil,202407,julho 2024,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista,0,
1,Brasil,30,Número-índice,..,1,Brasil,202407,julho 2024,7169,PMC - Número-índice (2022=100),56734,Índice de volume de vendas no comércio varejista,0,
1,Brasil,30,Número-índice,..,1,Brasil,202408,agosto 2024,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista,0,
1,Brasil,30,Número-índice,..,1,Brasil,202408,agosto 2024,7169,PMC - Número-índice (2022=100),56734,Índice de volume de vendas no comércio varejista,0,
1,Brasil,30,Número-índice,..,1,Brasil,202409,setembro 2024,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista,0,
1,Brasil,30,Número-índice,..,1,Brasil,202409,setembro 2024,7169,PMC - Número-índice (2022=100),56734,Índice de volume de vendas no comércio varejista,0,
1,Brasil,30,Número-índice,..,1,Brasil,202410,outubro 2024,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista,0,
1,Brasil,30,Número-índice,..,1,Brasil,202410,outubro 2024,7169,PMC - Número-índice (2022=100),56734,Índice de volume de vendas no comércio varejista,0,
1,Brasil,30,Número-índice,..,1,Brasil,202411,novembro 2024,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista,0,
1,Brasil,30,Número-índice,..,1,Brasil,202411,novembro 2024,7169,PMC - Número-índice (2022=100),56734,Índice de volume de vendas no comércio varejista,0,
1,Brasil,30,Número-índice,..,1,Brasil,202412,dezembro 2024,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista,0,
1,Brasil,30,Número-índice,..,1,Brasil,202412,dezembro 2024,7169,PMC - Número-índice (2022=100),56734,Índice de volume de vendas no comércio varejista,0,
1,Brasil,30,Número-índice,..,1,Brasil,202501,janeiro 2025,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista,0,
1,Brasil,30,Número-índice,..,1,Brasil,202501,janeiro 2025,7169,PMC - Número-índice (2022=100),56734,Índice de volume de vendas no comércio varejista,0,
1,Brasil,30,Número-índice,..,1,Brasil,202502,fevereiro 2025,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista,0,
1,Brasil,30,Número-índice,..,1,Brasil,202502,fevereiro 2025,7169,PMC - Número-índice (2022=100),56734,Índice de volume de vendas no comércio varejista,0,
1,Brasil,30,Número-índice,..,1,Brasil,202503,março 2025,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista,0,
1,Brasil,30,Número-índice,..,1,Brasil,202503,março 2025,7169,PMC - Número-índice (2022=100),56734,Índice de volume de vendas no comércio varejista,0,
1,Brasil,30,Número-índice,..,1,Brasil,202504,abril 2025,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista,0,
